"","sex","year","name","number"
"636","F",1911,"Mammie",6
"637","F",1911,"Marian",6
"638","F",1911,"Peggy",6
"639","F",1911,"Sophia",6
"640","F",1911,"Vallie",6
"641","F",1911,"Zelma",6
"642","F",1911,"Alta",5
"643","F",1911,"Augusta",5
"644","F",1911,"Bess",5
"645","F",1911,"Blanchie",5
"646","F",1911,"Bulah",5
"647","F",1911,"Charity",5
"648","F",1911,"Cynthia",5
"649","F",1911,"Doreatha",5
"650","F",1911,"Easter",5
"651","F",1911,"Elisabeth",5
"652","F",1911,"Exie",5
"653","F",1911,"Genevieve",5
"654","F",1911,"Gwendolyn",5
"655","F",1911,"Idell",5
"656","F",1911,"Iris",5
"657","F",1911,"Johnnie",5
"658","F",1911,"Julie",5
"659","F",1911,"Katharine",5
"660","F",1911,"Lavinia",5
"661","F",1911,"Leatha",5
"662","F",1911,"Lissie",5
"663","F",1911,"Lorena",5
"664","F",1911,"Lorraine",5
"665","F",1911,"Lovie",5
"666","F",1911,"Ludie",5
"667","F",1911,"Mandy",5
"668","F",1911,"Mellie",5
"669","F",1911,"Minerva",5
"670","F",1911,"Norma",5
"671","F",1911,"Patricia",5
"672","F",1911,"Queenie",5
"673","F",1911,"Reather",5
"674","F",1911,"Rosella",5
"675","F",1911,"Savannah",5
"676","F",1911,"Shirley",5
"677","F",1911,"Sylvia",5
"678","F",1911,"Texie",5
"679","F",1911,"Tressie",5
"680","F",1911,"Venie",5
"681","F",1911,"Verdie",5
"682","F",1911,"Wilhelmina",5
"683","F",1911,"Winifred",5
"684","F",1911,"Zora",5
"685","F",1912,"Mary",1086
"686","F",1912,"Annie",455
"687","F",1912,"Ruth",313
"688","F",1912,"Margaret",297
"689","F",1912,"Elizabeth",278
"690","F",1912,"Ruby",258
"691","F",1912,"Ethel",227
"692","F",1912,"Mildred",204
"693","F",1912,"Louise",201
"694","F",1912,"Helen",195
"695","F",1912,"Virginia",184
"696","F",1912,"Gladys",181
"697","F",1912,"Bessie",180
"698","F",1912,"Edna",173
"699","F",1912,"Hazel",173
"700","F",1912,"Lillie",172
"701","F",1912,"Thelma",169
"702","F",1912,"Sarah",168
"703","F",1912,"Alice",163
"704","F",1912,"Martha",155
"705","F",1912,"Lillian",153
"706","F",1912,"Dorothy",152
"707","F",1912,"Maggie",146
"708","F",1912,"Minnie",142
"709","F",1912,"Myrtle",140
"710","F",1912,"Emma",138
"711","F",1912,"Hattie",136
"712","F",1912,"Carrie",135
"713","F",1912,"Mattie",134
"714","F",1912,"Clara",132
"715","F",1912,"Bertha",131
"716","F",1912,"Pearl",129
"717","F",1912,"Grace",128
"718","F",1912,"Pauline",128
"719","F",1912,"Frances",124
"720","F",1912,"Beatrice",123
"721","F",1912,"Lucille",123
"722","F",1912,"Nellie",121
"723","F",1912,"Fannie",119
"724","F",1912,"Lucy",117
"725","F",1912,"Viola",117
"726","F",1912,"Alma",114
"727","F",1912,"Eva",114
"728","F",1912,"Irene",113
"729","F",1912,"Beulah",112
"730","F",1912,"Rosa",112
"731","F",1912,"Ella",109
"732","F",1912,"Cora",107
"733","F",1912,"Mamie",107
"734","F",1912,"Jessie",105
"735","F",1912,"Willie",105
"736","F",1912,"Evelyn",102
"737","F",1912,"Edith",100
"738","F",1912,"Laura",97
"739","F",1912,"Gertrude",92
"740","F",1912,"Ida",92
"741","F",1912,"Elsie",90
"742","F",1912,"Mabel",90
"743","F",1912,"Anna",89
"744","F",1912,"Inez",89
"745","F",1912,"Julia",88
"746","F",1912,"Mae",87
"747","F",1912,"Sallie",82
"748","F",1912,"Lula",81
"749","F",1912,"Sadie",81
"750","F",1912,"Lois",80
"751","F",1912,"Marie",80
"752","F",1912,"Blanche",79
"753","F",1912,"Addie",77
"754","F",1912,"Catherine",76
"755","F",1912,"Florence",76
"756","F",1912,"Ada",75
"757","F",1912,"Josephine",74
"758","F",1912,"Esther",73
"759","F",1912,"Lena",73
"760","F",1912,"Daisy",72
"761","F",1912,"Katie",72
"762","F",1912,"Flora",66
"763","F",1912,"Essie",65
"764","F",1912,"Geneva",65
"765","F",1912,"Mable",65
"766","F",1912,"Nannie",64
"767","F",1912,"Kathleen",60
"768","F",1912,"Eula",58
"769","F",1912,"Nancy",58
"770","F",1912,"Maude",57
"771","F",1912,"Susie",57
"772","F",1912,"Etta",56
"773","F",1912,"Eunice",56
"774","F",1912,"Lizzie",56
"775","F",1912,"Vera",55
"776","F",1912,"Estelle",54
"777","F",1912,"Lottie",53
"778","F",1912,"Nettie",53
"779","F",1912,"Dora",52
"780","F",1912,"Effie",51
"781","F",1912,"Betty",50
"782","F",1912,"Della",49
"783","F",1912,"Rachel",49
"784","F",1912,"Rebecca",49
"785","F",1912,"Bernice",48
"786","F",1912,"Katherine",48
"787","F",1912,"Stella",48
"788","F",1912,"Wilma",47
"789","F",1912,"Agnes",46
"790","F",1912,"Doris",46
"791","F",1912,"Ola",46
"792","F",1912,"Ollie",46
"793","F",1912,"Janie",45
"794","F",1912,"Juanita",44
"795","F",1912,"Christine",43
"796","F",1912,"Georgia",43
"797","F",1912,"Bettie",42
"798","F",1912,"Alberta",41
