"Date","Location","Hardness","Turbidity","Fecal.Coliform","Dissolved.oxygen","Oil.and.Grease","Temperature","TSS","Ammonia.nitrogen","pH","Specific.conductance","Bromide","Phosphorus","Fluoride","Salinity","Kjeldahl.nitrogen","Chloride","Sulfate","Ammonia"
"2015-04-09","CT_Umstead",41,27,80,8.37,NA,19.5,24,NA,7.43,205.9,NA,NA,NA,NA,NA,NA,NA,NA
"2015-02-04","CT_WakeForestRd",NA,26,57,14.91,NA,5.1,NA,NA,6.35,128.4,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-09","CT_EbenezerChurch",40,7,880,8.3,NA,18.8,0,0.06,7.43,198,NA,0.14,NA,NA,0.4,NA,NA,NA
"2015-05-11","CT_Umstead",NA,22,35,6.63,NA,23.3,NA,NA,7.13,141.2,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-06","CT_Umstead",NA,40,270,9.24,NA,18.5,NA,NA,7.23,91.8,NA,NA,NA,NA,NA,NA,NA,NA
"2015-07-08","Pigeon_House",78,1.9,2500,6.6,0,25.6,0,NA,7.33,300,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-04","CT_EbenezerChurch",NA,36,110,13.44,NA,5.7,NA,0,6.75,262.3,NA,0.1,NA,0.07,0.73,NA,NA,NA
"2015-06-05","CT_Umstead",NA,24,35,4.4,NA,23.2,NA,NA,7.02,158.8,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-07","Pigeon_House",NA,1.7,1300,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-12","CT_WakeForestRd",39,150,2700,13.6,NA,5.3,268,NA,6.55,53.1,NA,NA,NA,NA,NA,NA,NA,NA
"2015-09-02","Pigeon_House",NA,1.6,1900,7.27,0,23.7,NA,NA,7.19,291.7,NA,NA,NA,NA,NA,NA,NA,NA
"2015-07-21","NeuseRiver",25,2.5,86,5.25,NA,30.5,0,0,7.6,99.9,NA,0.03,NA,NA,0.41,NA,NA,NA
"2015-04-09","Pigeon_House",34,31,1500,6.13,0,16.5,12,NA,6.51,479.2,NA,NA,NA,NA,NA,NA,NA,NA
"2015-08-26","NeuseRiver",NA,3.1,74,6.82,NA,28.4,NA,0,7.73,102.6,NA,0.02,NA,NA,0.42,NA,NA,NA
"2015-10-08","CT_WakeForestRd",29,45,140,8.85,NA,18.7,13,NA,6.94,103.4,NA,NA,NA,NA,NA,NA,NA,NA
