"day_of_week","day","month","year","road","road_feature","weather","traffic_control"
"Saturday",8,"July",2017,"EVERS DR","T-intersection","Clear","No control present"
"Sunday",9,"July",2017,"MLK JR BLVD","Four-way intersection","Clear","Stop and go signal"
"Friday",7,"July",2017,"NEW  BERN AVE","No Special Feature","Clear","Stop and go signal"
"Wednesday",12,"July",2017,"4713 NEW BERN AVE","No Special Feature","Clear","No control present"
"Friday",14,"July",2017,"FALLS OF NEUSE RD","Four-way intersection","Clear","Stop and go signal"
"Monday",31,"July",2017,"GLENWOOD AVE","Four-way intersection","Clear","Stop and go signal"
"Sunday",30,"July",2017,"WALKERTOWN DR","No Special Feature","Clear","No control present"
"Wednesday",9,"August",2017,"FAYETTEVILLE ST","Four-way intersection","Clear","Stop and go signal"
"Wednesday",9,"August",2017,"5171 GLENWOOD AVE","No Special Feature","Clear","No control present"
"Tuesday",8,"August",2017,"BRAGG ST","No Special Feature","Clear","No control present"
"Monday",14,"August",2017,"MLK JR BLVD","No Special Feature","Cloudy","Stop and go signal"
"Tuesday",22,"August",2017,"LYNN RD","Four-way intersection","Clear","Stop and go signal"
"Thursday",24,"August",2017,"GROVE BARTON RD","No Special Feature","Clear","No control present"
"Saturday",2,"September",2017,"GORMAN ST","Four-way intersection","Cloudy","Stop and go signal"
"Thursday",7,"September",2017,"DURALEIGH RD","No Special Feature","Clear","No control present"
"Monday",4,"September",2017,"LOUISBURG  RD","No Special Feature","Clear","Stop and go signal"
"Thursday",14,"September",2017,"FAYETTEVILLE ST","No Special Feature","Rain","Stop and go signal"
"Saturday",30,"September",2017,"HILLBOROUGH ST","No Special Feature","Clear","Stop and go signal"
"Friday",6,"October",2017,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Sunday",15,"October",2017,"4421 SIX FORKS RD","Driveway, public","Clear","No control present"
"Tuesday",17,"October",2017,"LEAFCREST CT","T-intersection","Clear","No control present"
"Monday",30,"October",2017,"SALISBURY ST","No Special Feature","Clear","Stop and go signal"
"Saturday",21,"October",2017,"N NEW HOPE RD","No Special Feature","Clear","Stop and go signal"
"Tuesday",31,"October",2017,"TIPTON ST","No Special Feature","Clear","No control present"
"Wednesday",1,"November",2017,"NEW BERN AVE","Four-way intersection","Clear","Stop and go signal"
"Friday",3,"November",2017,"W. PEACE ST","Four-way intersection","Clear","Stop and go signal"
"Monday",6,"November",2017,"N RALEIGH BLVD","No Special Feature","Clear","Stop and go signal"
"Tuesday",7,"November",2017,"GORMAN ST","Four-way intersection","Cloudy","Stop and go signal"
"Friday",17,"November",2017,"4701 ATLANTIC AVE","Driveway, public","Clear","No control present"
"Saturday",18,"November",2017,"NORTH BEND DR","No Special Feature","Clear","Stop and go signal"
"Saturday",18,"November",2017,"MILLBROOK  RD","No Special Feature","Clear","No control present"
"Wednesday",29,"November",2017,"OBERLIN RD","No Special Feature","Clear","Stop sign"
"Friday",1,"December",2017,"WIMBLETON DR","No Special Feature","Clear","No control present"
"Tuesday",5,"December",2017,"HUNTING RIDGE RD","No Special Feature","Clear","No control present"
"Tuesday",12,"December",2017,"LEESVIILE RD","No Special Feature","Clear","No control present"
"Thursday",14,"December",2017,"ATLANTIC AVE","Four-way intersection","Clear","Stop and go signal"
"Saturday",16,"December",2017,"2310 GARNER RD","No Special Feature","Clear","No control present"
"Tuesday",2,"January",2018,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Saturday",27,"January",2018,"9101 LEESVILLE RD","No Special Feature","Clear","No control present"
"Tuesday",23,"January",2018,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Wednesday",21,"February",2018,"BRENTWOOD RD","No Special Feature","Rain","Stop sign"
"Saturday",3,"March",2018,"111 FRIENDLY DR","No Special Feature","Clear","No control present"
"Monday",5,"March",2018,"NEW  BERN AVE","Y-intersection","Clear","Stop and go signal"
"Monday",5,"March",2018,"GLENWOOD FOREST DR","No Special Feature","Clear","No control present"
"Saturday",10,"March",2018,"HILLSBOROUGH ST","No Special Feature","Cloudy","No control present"
"Friday",16,"March",2018,"DONALD ROSS DR","No Special Feature","Clear","Stop sign"
"Thursday",22,"March",2018,"FALLS OF NEUSE RD","No Special Feature","Clear","Stop and go signal"
"Wednesday",28,"March",2018,"E DAVIE ST","No Special Feature","Clear","Stop and go signal"
"Monday",16,"April",2018,"LAKE WHEELER RD","No Special Feature","Cloudy","No control present"
"Wednesday",18,"April",2018,"SINGLETON ST","T-intersection","Clear","No control present"
"Friday",20,"April",2018,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Friday",27,"April",2018,"DAVIS CIR","No Special Feature","Clear","Stop sign"
"Saturday",28,"April",2018,"CREEDMOOR RD","No Special Feature","Clear","No control present"
"Monday",30,"April",2018,"CHAMBERLAIN ST","T-intersection","Clear","Stop sign"
"Tuesday",1,"May",2018,"GLASCOCK ST","Four-way intersection","Clear","Stop and go signal"
"Monday",14,"May",2018,"CARLOS DR","Four-way intersection","Clear","Stop and go signal"
"Monday",7,"May",2018,"2109 AVENT FERRY RD","Driveway, public","Clear","No control present"
"Wednesday",30,"May",2018,"WADE AVE","No Special Feature","Rain","No control present"
"Tuesday",5,"June",2018,"5020 ATLANTIC AVE","T-intersection","Clear","No control present"
"Tuesday",19,"June",2018,"5900 RICKER RD","No Special Feature","Clear","No control present"
"Thursday",21,"June",2018,"NORTH HILLS DR","No Special Feature","Clear","No control present"
"Wednesday",27,"June",2018,"VARSITY DR","No Special Feature","Clear","No control present"
"Friday",29,"June",2018,"BONNEVILLE CT","No Special Feature","Clear","Stop sign"
"Friday",29,"June",2018,"WIDE RIVER DR","T-intersection","Clear","Stop and go signal"
"Sunday",8,"July",2018,"S WILMINGTON ST","Five point, or more","Clear","Stop and go signal"
"Wednesday",11,"July",2018,"YUCCA TRL","No Special Feature","Clear","No control present"
"Friday",20,"July",2018,"CENTENNIAL PKWY","T-intersection","Clear","Stop and go signal"
"Monday",23,"July",2018,"PARK DR","T-intersection","Rain","Stop sign"
"Wednesday",25,"July",2018,"FALLS OF NEUSE RD","Four-way intersection","Clear","Stop sign"
"Friday",27,"July",2018,"HILLSBOROUGH  ST","No Special Feature","Cloudy","No control present"
"Monday",30,"July",2018,"400 PEYSTON ST","No Special Feature","Rain","No control present"
"Monday",30,"July",2018,"5505 CAPITAL BLVD","Driveway, private","Clear","No control present"
"Thursday",2,"August",2018,"E DAVIE ST","Four-way intersection","Rain","Stop and go signal"
"Wednesday",15,"August",2018,"GAS LIGHT CREEK","Four-way intersection","Clear","Stop sign"
"Sunday",19,"August",2018,"S EAST ST","Four-way intersection","Clear","Stop sign"
"Wednesday",22,"August",2018,"QUAIL HOLLOW DR","Related to intersection","Clear","Stop sign"
"Wednesday",22,"August",2018,"FALLS OF NEUSE RD","No Special Feature","Clear","No control present"
"Saturday",25,"August",2018,"E LENOIR ST","Four-way intersection","Clear","Stop sign"
"Tuesday",21,"August",2018,"S SAUNDERS ST","T-intersection","Clear","No control present"
"Thursday",30,"August",2018,"WESTERN BLVD","No Special Feature","Clear","Stop and go signal"
"Monday",3,"September",2018,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Monday",10,"September",2018,"CROSS LINK RD","Shared-use paths or trails","Clear","No control present"
"Monday",10,"September",2018,"CAMERON ST","T-intersection","Clear","Stop and go signal"
"Tuesday",11,"September",2018,"LYNDHURST DR","T-intersection","Clear","Stop sign"
"Tuesday",11,"September",2018,"RIO WILD DR","T-intersection","Clear","No control present"
"Sunday",9,"September",2018,"E MARTIN ST","No Special Feature","Clear","No control present"
"Wednesday",19,"September",2018,"WESTERN BLVD","Four-way intersection","Clear","Stop and go signal"
"Thursday",20,"September",2018,"AVENT FERRY RD","Four-way intersection","Clear","Stop and go signal"
"Thursday",20,"September",2018,"4600  CAPITAL BLVD","No Special Feature","Clear","Stop sign"
"Saturday",29,"September",2018,"ROCK  QUARRY  RD","No Special Feature","Clear","No control present"
"Tuesday",2,"October",2018,"HILLSBOROUGH ST","T-intersection","Clear","No control present"
"Thursday",4,"October",2018,"E EDENTON ST","Four-way intersection","Clear","Stop and go signal"
"Sunday",14,"October",2018,"BLUE RIDGE  RD","Four-way intersection","Clear","Stop and go signal"
"Thursday",18,"October",2018,"SUNBURY ST","T-intersection","Clear","Stop sign"
"Sunday",21,"October",2018,"SHERMAN AVE","Four-way intersection","Clear","Stop sign"
"Saturday",20,"October",2018,"S SALISBURY ST","No Special Feature","Cloudy","No control present"
"Thursday",18,"October",2018,"LEAFCREST CT","T-intersection","Cloudy","Stop sign"
"Monday",29,"October",2018,"HARGETT ST","No Special Feature","Clear","No control present"
"Wednesday",7,"November",2018,"REEDY CREEK RD","No Special Feature","Clear","Stop sign"
"Monday",12,"November",2018,"S BLOODWORTH ST","Four-way intersection","Rain","Stop sign"
