"county","census_tract","population","ozone_pollution","particle_pollution","cancer_life_prob","disposal_area","lead_area","park_area","walkability","highway_area","impaired_water","minority","minority_category","poverty","uninsured","no_high_school","unemployed","high_blood_pressure","asthma","cancer","mental_health","diabetes","env_burden_rank","health_vuln_rank","social_vuln_rank","env_justice_rank"
"Pitt",14.02,2647,0,8.4,28.54,0,0,0,5.42,7.64,16.27,43.3,"btwn_25_50",48.1157,3.8,9.2,11.8,40,10.5,7,15.1,14.1,0.1865,0.6,0.767,0.6467
"Pitt",15,3328,0,8.35,28.74,0,0,0,6.08,14.06,0.71,39.9,"btwn_25_50",47.6004,9.1,17.2,11.6,40.6,10.8,7.4,15.9,15.2,0.1462,0.8,0.8557,0.7504
"Pitt",16,8859,0,8.62,28.33,5.16,0,0,4.46,55.98,20.25,42.3,"btwn_25_50",33.909,6.7,10.8,5.8,30.3,10.1,5.5,14.9,10.3,0.5416,0,0.5489,0.4081
"Pitt",17,4644,0,8.63,28.52,0,0,0,6.83,41.65,7.92,41,"btwn_25_50",39.6533,15.2,13.5,12.1,33.9,9.9,6.5,13.6,11.1,0.4407,0,0.8113,0.4988
"Pitt",18,6599,0,8.78,28.44,0,0,0,7.5,98.47,13.02,49,"btwn_25_50",42.5697,5.8,11.1,4.9,40.6,10.8,7.4,15.1,15.4,0.4978,0.6,0.728,0.7592
"Pitt",19,2485,0,8.74,28.28,0,0,0,4.06,21.71,4.31,38.6,"btwn_25_50",44.3058,14,15.3,16.2,41.8,10.8,7.6,16,16.1,0.1155,1,0.8689,0.8158
"Pitt",20.01,6324,0,8.54,28.21,0,0,0,3.83,30.38,5.24,78.1,"greater_75",61.2162,29.6,26.6,16.3,39.2,11.9,4.9,19,15.7,0.4789,0.8,0.9395,0.8849
"Pitt",20.02,5186,0,8.4,27.97,0.17,0,0,4.7,25.38,9.27,53.7,"btwn_50_75",39.5488,12.6,19.3,10.2,40.5,10.7,7.1,14.8,14.6,0.501,0.6,0.8256,0.7956
"Polk",9201.01,3422,0.33,9.09,32.89,0,0,0,3.5,23.63,1.87,25.8,"btwn_25_50",28.0538,10.9,14,2.5,37.1,9.5,7.8,13.3,11.2,0.1395,0.4,0.4653,0.3576
"Polk",9201.03,3162,0,8.95,31.75,0,0,0.02,4.17,22.98,10.34,11.5,"less_25",31.5856,8.7,10.4,7.5,38.4,9.2,8.9,12.5,12,0.1254,0.4,0.6852,0.4753
"Polk",9201.04,3214,0,8.78,31.5,0,0,0.95,6.75,71.69,2.72,14,"less_25",30.3389,10.5,11.8,4.6,42.8,8.6,12.2,10.7,13,0.172,0.6,0.8018,0.6558
"Polk",9202,4833,0,8.61,28.96,0,0,39.28,5.33,9.49,0.03,16,"less_25",41.9408,9.5,7,6.5,35.3,9.7,7.7,14.5,12.2,0.0348,0.4,0.6505,0.4051
"Polk",9203.01,1102,0,8.71,30.05,0,0,8.4,6.17,97.04,0.11,12.3,"less_25",44.3739,19.2,12.5,4.9,41.2,9.5,10.5,12.8,14.4,0.2183,0.6,0.7995,0.6759
"Polk",9203.03,1960,0,8.57,28.33,0,0,28.77,7,99.92,0,4.3,"less_25",31.5276,11.3,6.1,4.4,41.2,9.1,10.4,11.7,13.4,0.2114,0.6,0.5292,0.5453
"Polk",9203.04,2864,0,8.67,28.19,0,0,0,7.08,64.33,1.48,9.2,"less_25",25.306,7.1,4.7,4.7,42.5,8.5,11.6,9.7,13.1,0.2851,0.6,0.5475,0.5908
"Randolph",301,4695,0,9.48,34.56,0,0,42.89,10.44,100,2.03,43.4,"btwn_25_50",56.4394,20.8,26.7,5.8,35.8,10.6,6.4,17.5,13.6,0.578,0.8,0.977,0.921
"Randolph",302.01,3317,0,9.52,34.94,0,0,64.22,11.89,100,10.75,31,"btwn_25_50",38.0766,14.3,11.7,3.2,36.7,9.6,8.3,13.8,12.3,0.4734,0.6,0.6361,0.7141
"Randolph",302.02,4694,0,9.46,33.66,0,0,3.59,7.11,98.16,0.03,31.6,"btwn_25_50",42.1622,15.3,18,5,38.5,9.9,8.1,15.3,14.1,0.3603,0.6,0.9052,0.7732
"Randolph",303.01,6291,0,9.58,35.47,0,0,48.88,6.28,66.81,22.63,48,"btwn_25_50",48.8354,21.8,26.4,6.3,34.3,10.4,5.7,17.8,13,0.5399,0.6,0.9151,0.8379
"Randolph",303.02,2735,0,9.55,34.71,0,0,50.27,6.83,73.67,21.12,59.7,"btwn_50_75",54.1461,23.9,29,12.6,41.4,11.5,7.8,17.2,17.7,0.3709,1,0.9994,0.9248
"Randolph",304,4256,0,9.58,37.56,0,0,79.58,8.78,100,17.38,56,"btwn_50_75",65.6908,15.5,28.9,2.6,35.8,10.5,6.7,17.5,13.9,0.623,0.8,0.9772,0.9321
"Randolph",305.02,4306,0,9.57,34.88,0,0,18.38,5.28,65.98,4.34,16.5,"less_25",29.5964,9.5,11.8,0.7,35.7,9.1,8.5,12.1,11.4,0.5721,0.4,0.4558,0.5885
"Randolph",305.03,5499,0,9.67,34.17,0,0,0,4.17,34.75,2.44,8.7,"less_25",33.9316,14.8,15.7,2,34.1,9.8,6.8,15.3,10.8,0.2893,0,0.6178,0.2981
"Randolph",305.04,5972,0.33,9.66,33.49,0,0,0,3.08,22.19,4.3,1.5,"less_25",30.6615,11.7,14.1,1.2,33,9.9,6.8,15.2,10.6,0.1822,0,0.3036,0.0888
"Randolph",306,7531,0,9.47,33.21,0,0,25.18,6.94,67.44,1.21,18.4,"less_25",36.5556,14.6,16.1,4.8,35.9,10.1,7.6,15.6,12.5,0.4167,0.8,0.7016,0.7927
"Randolph",307,6503,0,9.33,32.82,0,0,54.43,3.28,14.46,5.09,5.1,"less_25",41.0643,11.1,16.1,11.4,33.4,10.1,7,16.3,11.7,0.1775,0.2,0.6927,0.3961
"Randolph",308.01,7326,0,9.47,32.97,0,0,0,3.83,36.1,5.44,19.4,"less_25",30.4366,16.7,18.2,7.8,32.9,9.6,6.8,14.7,10.4,0.1784,0,0.6832,0.2718
"Randolph",308.02,6319,0,9.27,32.88,0,0,0,3.89,24.77,0,13.2,"less_25",26.0134,6.3,16.5,2.2,35.7,10.2,7.2,15.7,12.1,0.0831,0.4,0.4154,0.2931
"Randolph",309,4009,0,9.33,32.48,0,0,0,2.83,0,5.7,9.4,"less_25",43.0088,14.7,14.2,7.4,39.7,10.4,7.6,16.3,13.7,0.1384,1,0.5994,0.7257
