"Song","Artist","Date","Number_one_weeks","Overall.Rating","Genre","Length","Artist.Male","Artist.White","Artist.Black","Age","BPM","Energy","Danceability","Happiness","Loudness","Key","Explicit"
"Hang On Sloopy","The McCoys","2-Oct-65",1,6.67,"Rock",182,1,1,0,18,115,52,76,94,-12,"G",0
"Yesterday","The Beatles","9-Oct-65",4,8.67,"Pop",123,1,1,0,24,97,18,33,31,-12,"F",0
"Get Off Of My Cloud","The Rolling Stones","6-Nov-65",2,8.67,"Rock",175,1,1,0,22,126,90,59,91,-7,"E",0
"I Hear a Symphony","The Supremes","20-Nov-65",2,8,"Pop",166,0,0,1,21,140,62,56,38,-8,"Multiple Keys",0
"Turn! Turn! Turn! (To Everything There is a Season)","The Byrds","4-Dec-65",3,7,"Rock",229,1,1,0,22,124,82,45,75,-8,"D",0
"Over and Over","The Dave Clark Five","25-Dec-65",1,4.67,"Rock",121,1,1,0,23,150,86,54,90,-8,"Bb",0
"The Sound of Silence","Simon & Garfunkel","1-Jan-66",2,8.67,"Folk/Country",185,1,1,0,24,108,47,44,54,-10,"Gb",0
"We Can Work it Out","The Beatles","8-Jan-66",3,9,"Pop",136,1,1,0,24,106,68,38,65,-9,"D",0
"My Love","Petula Clark","5-Feb-66",2,4.67,"Pop",164,0,1,0,33,174,86,51,95,-6,"A",0
"Lightnin' Strikes","Lou Christie","19-Feb-66",1,5,"Rock",181,1,1,0,23,134,65,62,69,-8,"Multiple Keys",0
"These Boots are Made for Walkin'","Nancy Sinatra","26-Feb-66",1,9,"Rock",162,0,1,0,25,83,39,74,39,-12,"E",0
"The Ballad of the Green Berets","SSgt. Barry Sadler","5-Mar-66",5,1.67,"March",166,1,1,0,25,84,33,71,71,-12,"C",0
"(You're My) Soul and Inspiration","The Righteous Brothers","9-Apr-66",3,6.67,"Funk/Soul",180,1,1,0,25,94,43,17,28,-12,"B",0
"Good Lovin'","The Young Rascals","30-Apr-66",1,8,"Rock",168,1,1,0,22,98,51,25,82,-13,"D",0
"Monday, Monday","The Mamas & the Papas","7-May-66",3,7,"Pop",208,2,1,0,30,110,48,49,67,-9,"Multiple Keys",0
"When a Man Loves a Woman","Percy Sledge","28-May-66",2,8.67,"Funk/Soul",174,1,0,1,24,97,15,52,21,-20,"Db",0
"Paint it, Black","The Rolling Stones","11-Jun-66",2,9.67,"Rock",199,1,1,0,22,159,80,47,59,-9,"Em",0
"Paperback Writer","The Beatles","25-Jun-66",2,10,"Rock",146,1,1,0,24,157,86,47,84,-6,"G",0
"Strangers in the Night","Frank Sinatra","2-Jul-66",1,5.33,"Pop",155,1,1,0,50,80,49,23,53,-8,"F",0
"Hanky Panky","Tommy James & the Shondells","16-Jul-66",2,5.33,"Rock",172,1,1,0,19,126,91,65,89,-6,"G",0
"Wild Thing","The Troggs","30-Jul-66",2,8,"Rock",159,1,1,0,25,101,65,41,56,-11,"A",0
"Summer in the City","The Lovin' Spoonful","13-Aug-66",3,7.67,"Rock",161,1,1,0,22,110,68,42,56,-10,"Multiple Keys",0
"Sunshine Superman","Donovan","3-Sep-66",1,5.67,"Rock",195,1,1,0,20,133,68,63,63,-7,"Db",0
"You Can't Hurry Love","The Supremes","10-Sep-66",2,9.33,"Pop",167,0,0,1,22,97,73,49,69,-9,"Bb",0
"Cherish","The Association","24-Sep-66",3,3.67,"Pop",193,1,2,0,26,110,41,49,56,-14,"F",0
"Reach Out I'll Be There","Four Tops","15-Oct-66",2,8.67,"Funk/Soul",180,1,0,1,30,120,63,62,70,-8,"Ebm",0
"96 Tears","? & the Mysterians","29-Oct-66",1,7.33,"Rock",186,1,0,0,22,124,56,65,88,-6,"G",0
"Last Train to Clarksville","The Monkees","5-Nov-66",1,8.67,"Rock",166,1,1,0,22,98,68,48,72,-7,"G",0
"Poor Side of Town","Johnny Rivers","12-Nov-66",1,4,"Rock",183,1,1,0,24,103,49,42,44,-12,"Multiple Keys",0
"You Keep Me Hangin' On","The Supremes","19-Nov-66",2,9.33,"Pop",167,0,0,1,22,128,61,68,85,-7,"Multiple Keys",0
"Winchester Cathedral","The New Vaudeville Band","3-Dec-66",3,2.67,"Pop",140,1,1,0,24,123,37,85,91,-14,"C",0
"Good Vibrations","The Beach Boys","10-Dec-66",1,10,"Rock",219,1,1,0,23,133,47,40,38,-8,"Multiple Keys",0
"I'm a Believer","The Monkees","31-Dec-66",7,8,"Rock",167,1,1,0,22,79,77,50,94,-6,"G",0
"Kind of a Drag","The Buckinghams","18-Feb-67",2,4.67,"Pop",125,1,1,0,19,139,78,27,53,-8,"G",0
"Ruby Tuesday","The Rolling Stones","4-Mar-67",1,7.67,"Rock",192,1,1,0,23,105,54,52,58,-11,"C",0
"Love is Here and Now You're Gone","The Supremes","11-Mar-67",1,5.67,"Pop",167,0,0,1,22,114,64,57,85,-8,"Eb",0
"Penny Lane","The Beatles","18-Mar-67",1,8,"Pop",183,1,1,0,24,113,49,65,49,-8,"Multiple Keys",0
"Happy Together","The Turtles","25-Mar-67",3,8.33,"Rock",170,1,1,0,19,120,37,58,59,-10,"Multiple Keys",0
"Somethin' Stupid","Frank Sinatra & Nancy Sinatra","15-Apr-67",4,5.33,"Pop",162,2,1,0,39,104,32,27,54,-13,"E",0
"The Happening","The Supremes","13-May-67",1,4.33,"Pop",169,0,0,1,23,172,75,34,83,-7,"Multiple Keys",0
